experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
605,0.07999999999999999,0.004,0.004,0.055,0.111,0.196,0.355,0.04,54.0,0.009,0.005,0.003,0.002,0.017,0.051,0.109,0.195,0.354,0.033,5.333,6.257,7.301,8.828,4.817,29.04.24 - 08:50
606,0.07999999999999999,0.004,0.006,0.05,0.11,0.213,0.367,0.033,62.0,0.037,0.023,0.015,0.011,0.033,0.014,0.089,0.199,0.356,0.0,5.064,5.998,7.271,8.79,4.05,29.04.24 - 08:51
607,0.07999999999999999,0.004,0.008,0.122,0.174,0.256,0.392,0.1,48.0,0.046,0.032,0.021,0.016,0.067,0.08,0.146,0.238,0.378,0.033,5.588,6.433,7.447,8.879,4.95,29.04.24 - 08:52
608,0.07999999999999999,0.004,0.01,0.02,0.062,0.174,0.332,0.017,58.0,0.02,0.018,0.012,0.009,0.017,0.0,0.045,0.162,0.323,0.0,3.947,5.082,6.532,8.215,3.717,29.04.24 - 08:53
609,0.07999999999999999,0.004,0.012,0.007,0.035,0.132,0.296,0.0,57.0,0.007,0.015,0.014,0.011,0.0,0.0,0.02,0.119,0.286,0.0,3.685,4.311,5.762,7.634,3.55,29.04.24 - 08:53
610,0.07999999999999999,0.004,0.014,0.015,0.047,0.14,0.304,0.0,60.0,0.0,0.01,0.009,0.006,0.0,0.015,0.039,0.133,0.3,0.0,4.001,4.786,6.114,7.902,3.767,29.04.24 - 08:54
611,0.07999999999999999,0.004,0.016,0.0,0.026,0.108,0.281,0.0,52.0,0.0,0.009,0.009,0.007,0.0,0.0,0.019,0.102,0.276,0.0,3.856,4.363,5.535,7.458,3.8,29.04.24 - 08:55
612,0.07999999999999999,0.004,0.018000000000000002,0.0,0.023,0.106,0.282,0.0,52.0,0.0,0.01,0.013,0.01,0.0,0.0,0.013,0.094,0.273,0.0,3.563,4.041,5.144,7.187,3.467,29.04.24 - 08:56
613,0.07999999999999999,0.004,0.02,0.0,0.003,0.059,0.239,0.0,40.0,0.0,0.0,0.003,0.002,0.0,0.0,0.003,0.056,0.237,0.0,3.933,4.096,5.048,7.09,3.933,29.04.24 - 08:57
614,0.07999999999999999,0.004,0.022000000000000002,0.0,0.008,0.051,0.23,0.0,41.0,0.0,0.002,0.006,0.005,0.0,0.0,0.006,0.044,0.226,0.0,3.689,3.807,4.584,6.703,3.667,29.04.24 - 08:58
615,0.07999999999999999,0.004,0.024,0.0,0.002,0.061,0.237,0.0,45.0,0.0,0.001,0.016,0.012,0.0,0.0,0.001,0.047,0.226,0.0,3.583,3.705,4.545,6.644,3.583,29.04.24 - 08:59
616,0.09,0.0005,0.004,0.3,0.298,0.293,0.376,0.3,-1,0.3,0.298,0.288,0.229,0.3,0.0,0.0,0.006,0.15,0.0,4.283,4.283,4.52,6.236,4.283,29.04.24 - 09:00
617,0.09,0.0005,0.006,0.283,0.283,0.276,0.352,0.283,2.0,0.283,0.283,0.274,0.222,0.283,0.0,0.0,0.003,0.133,0.0,4.333,4.333,4.412,6.003,4.333,29.04.24 - 09:00
618,0.09,0.0005,0.008,0.283,0.283,0.28,0.358,0.283,-1,0.283,0.283,0.272,0.223,0.283,0.0,0.0,0.009,0.14,0.0,4.167,4.167,4.357,6.015,4.167,29.04.24 - 09:02
619,0.09,0.0005,0.01,0.159,0.174,0.192,0.296,0.133,20.0,0.159,0.171,0.18,0.154,0.133,0.0,0.004,0.014,0.146,0.0,3.739,3.844,4.164,5.888,3.817,29.04.24 - 09:02
620,0.09,0.0005,0.012,0.154,0.153,0.182,0.286,0.167,5.0,0.154,0.152,0.172,0.151,0.167,0.0,0.0,0.01,0.139,0.0,3.789,3.793,4.12,5.78,3.967,29.04.24 - 09:03
621,0.09,0.0005,0.014,0.067,0.062,0.064,0.189,0.1,10.0,0.067,0.062,0.062,0.055,0.1,0.0,0.0,0.003,0.137,0.0,3.7,3.716,3.919,5.631,3.7,29.04.24 - 09:04
622,0.09,0.0005,0.016,0.145,0.122,0.13,0.244,0.14,7.0,0.154,0.127,0.123,0.115,0.15,0.0,0.0,0.01,0.134,0.0,3.73,3.732,3.956,5.583,3.717,29.04.24 - 09:05
623,0.09,0.0005,0.018000000000000002,0.204,0.181,0.181,0.287,0.251,4.0,0.237,0.201,0.191,0.17,0.3,0.0,0.0,0.004,0.13,0.0,3.775,3.724,3.876,5.572,4.667,29.04.24 - 09:06
624,0.09,0.0005,0.02,0.232,0.203,0.186,0.286,0.304,-1,0.248,0.218,0.193,0.169,0.317,0.007,0.004,0.006,0.13,0.017,4.305,4.13,4.13,5.698,4.533,29.04.24 - 09:07
625,0.09,0.0005,0.022000000000000002,0.241,0.198,0.164,0.262,0.261,-1,0.258,0.208,0.169,0.143,0.3,0.005,0.003,0.004,0.129,0.0,3.963,3.783,3.825,5.455,4.733,29.04.24 - 09:08
626,0.09,0.0005,0.024,0.321,0.271,0.22,0.309,0.321,-1,0.359,0.299,0.236,0.2,0.35,0.003,0.002,0.004,0.125,0.0,4.221,3.953,3.957,5.458,4.133,29.04.24 - 09:09
627,0.09,0.001,0.004,0.267,0.267,0.268,0.359,0.267,2.0,0.267,0.267,0.264,0.209,0.267,0.0,0.0,0.005,0.152,0.0,3.867,3.867,4.088,5.885,3.867,29.04.24 - 09:10
628,0.09,0.001,0.006,0.267,0.271,0.265,0.356,0.267,6.0,0.267,0.271,0.26,0.205,0.267,0.0,0.0,0.008,0.157,0.0,4.333,4.329,4.542,6.268,4.333,29.04.24 - 09:11
629,0.09,0.001,0.008,0.3,0.298,0.291,0.376,0.3,-1,0.3,0.298,0.289,0.232,0.3,0.0,0.0,0.004,0.148,0.0,3.8,3.8,4.009,5.782,3.8,29.04.24 - 09:12
630,0.09,0.001,0.01,0.088,0.116,0.145,0.264,0.083,50.0,0.088,0.116,0.136,0.116,0.083,0.0,0.0,0.011,0.152,0.0,3.892,3.894,4.175,5.986,4.167,29.04.24 - 09:13
631,0.09,0.001,0.012,0.072,0.092,0.13,0.25,0.05,38.0,0.072,0.091,0.107,0.094,0.05,0.0,0.0,0.025,0.16,0.0,3.516,3.621,4.094,5.829,3.483,29.04.24 - 09:14
632,0.09,0.001,0.014,0.1,0.112,0.143,0.261,0.1,18.0,0.1,0.112,0.128,0.117,0.1,0.0,0.0,0.016,0.148,0.0,3.717,3.753,4.173,5.889,3.717,29.04.24 - 09:15
633,0.09,0.001,0.016,0.114,0.119,0.142,0.259,0.083,22.0,0.114,0.118,0.133,0.118,0.083,0.0,0.001,0.01,0.147,0.0,3.617,3.633,3.926,5.66,3.617,29.04.24 - 09:16
634,0.09,0.001,0.018000000000000002,0.136,0.141,0.162,0.278,0.174,3.0,0.138,0.142,0.158,0.143,0.183,0.0,0.0,0.007,0.14,0.0,3.633,3.633,3.929,5.722,3.633,29.04.24 - 09:16
635,0.09,0.001,0.02,0.119,0.095,0.114,0.236,0.124,21.0,0.126,0.099,0.111,0.1,0.133,0.0,0.0,0.006,0.144,0.0,3.65,3.65,3.902,5.664,3.65,29.04.24 - 09:17
636,0.09,0.001,0.022000000000000002,0.111,0.077,0.071,0.196,0.133,5.0,0.111,0.077,0.066,0.059,0.133,0.0,0.0,0.006,0.14,0.0,3.833,3.833,4.045,5.707,3.833,29.04.24 - 09:18
637,0.09,0.001,0.024,0.133,0.108,0.103,0.222,0.15,4.0,0.133,0.108,0.098,0.091,0.15,0.0,0.0,0.006,0.135,0.0,3.72,3.677,3.846,5.535,3.65,29.04.24 - 09:19
638,0.09,0.0015,0.004,0.183,0.182,0.195,0.307,0.183,9.0,0.183,0.182,0.179,0.142,0.183,0.0,0.0,0.017,0.168,0.0,4.35,4.376,4.723,6.492,4.35,29.04.24 - 09:20
639,0.09,0.0015,0.006,0.283,0.279,0.274,0.368,0.283,-1,0.283,0.279,0.264,0.208,0.283,0.0,0.0,0.018,0.17,0.0,4.117,4.121,4.544,6.385,4.117,29.04.24 - 09:22
640,0.09,0.0015,0.008,0.238,0.238,0.222,0.32,0.233,13.0,0.238,0.238,0.219,0.174,0.233,0.0,0.0,0.005,0.149,0.0,3.867,3.883,4.15,5.896,3.867,29.04.24 - 09:23
641,0.09,0.0015,0.01,0.124,0.146,0.173,0.288,0.117,25.0,0.124,0.139,0.151,0.119,0.117,0.0,0.007,0.028,0.176,0.0,3.819,3.892,4.321,6.123,3.583,29.04.24 - 09:23
642,0.09,0.0015,0.012,0.05,0.061,0.089,0.228,0.05,27.0,0.05,0.06,0.073,0.068,0.05,0.0,0.001,0.016,0.162,0.0,3.617,3.694,4.046,5.91,3.617,29.04.24 - 09:24
643,0.09,0.0015,0.014,0.019,0.033,0.069,0.214,0.017,41.0,0.019,0.033,0.06,0.062,0.017,0.0,0.0,0.01,0.157,0.0,3.7,3.744,4.124,5.954,3.7,29.04.24 - 09:25
644,0.09,0.0015,0.016,0.085,0.1,0.129,0.246,0.067,28.0,0.085,0.098,0.12,0.099,0.067,0.0,0.003,0.009,0.149,0.0,3.667,3.705,4.073,5.878,3.667,29.04.24 - 09:26
645,0.09,0.0015,0.018000000000000002,0.067,0.067,0.086,0.225,0.067,16.0,0.067,0.067,0.078,0.078,0.067,0.0,0.0,0.009,0.149,0.0,3.633,3.633,3.913,5.7,3.633,29.04.24 - 09:27
646,0.09,0.0015,0.02,0.018,0.026,0.052,0.19,0.033,33.0,0.018,0.026,0.04,0.044,0.033,0.0,0.0,0.012,0.147,0.0,3.9,3.9,4.277,5.997,3.9,29.04.24 - 09:28
647,0.09,0.0015,0.022000000000000002,0.02,0.012,0.026,0.164,0.033,26.0,0.02,0.012,0.023,0.031,0.033,0.0,0.0,0.003,0.134,0.0,3.667,3.667,3.78,5.522,3.667,29.04.24 - 09:29
648,0.09,0.0015,0.024,0.062,0.053,0.058,0.191,0.1,15.0,0.062,0.053,0.056,0.058,0.1,0.0,0.0,0.002,0.136,0.0,3.733,3.733,3.825,5.616,3.733,29.04.24 - 09:30
649,0.09,0.002,0.004,0.184,0.169,0.17,0.297,0.2,8.0,0.184,0.169,0.15,0.115,0.2,0.0,0.0,0.024,0.185,0.0,4.017,4.036,4.629,6.488,4.017,29.04.24 - 09:31
650,0.09,0.002,0.006,0.2,0.204,0.222,0.331,0.2,13.0,0.2,0.2,0.187,0.143,0.2,0.0,0.004,0.04,0.193,0.0,3.883,3.975,4.559,6.364,3.883,29.04.24 - 09:32
651,0.09,0.002,0.008,0.283,0.28,0.267,0.357,0.283,-1,0.283,0.28,0.247,0.189,0.283,0.0,0.0,0.026,0.175,0.0,4.4,4.424,4.915,6.612,4.4,29.04.24 - 09:33
652,0.09,0.002,0.01,0.128,0.134,0.154,0.282,0.1,33.0,0.128,0.133,0.132,0.102,0.1,0.0,0.001,0.024,0.182,0.0,3.901,3.913,4.413,6.315,3.8,29.04.24 - 09:34
653,0.09,0.002,0.012,0.033,0.041,0.073,0.218,0.033,29.0,0.033,0.041,0.063,0.06,0.033,0.0,0.0,0.012,0.162,0.0,3.85,3.958,4.397,6.232,3.85,29.04.24 - 09:34
654,0.09,0.002,0.014,0.019,0.036,0.067,0.213,0.017,38.0,0.019,0.032,0.051,0.046,0.017,0.0,0.004,0.017,0.169,0.0,3.75,3.816,4.239,6.111,3.75,29.04.24 - 09:35
655,0.09,0.002,0.016,0.017,0.025,0.055,0.198,0.017,34.0,0.017,0.025,0.043,0.04,0.017,0.0,0.0,0.012,0.16,0.0,3.583,3.583,3.927,5.831,3.583,29.04.24 - 09:36
656,0.09,0.002,0.018000000000000002,0.017,0.021,0.04,0.186,0.017,27.0,0.017,0.019,0.029,0.029,0.017,0.0,0.001,0.011,0.159,0.0,3.65,3.663,4.002,5.849,3.65,29.04.24 - 09:37
657,0.09,0.002,0.02,0.0,0.008,0.042,0.192,0.0,40.0,0.0,0.008,0.032,0.036,0.0,0.0,0.0,0.01,0.16,0.0,3.817,3.817,4.162,6.016,3.817,29.04.24 - 09:38
658,0.09,0.002,0.022000000000000002,0.0,0.0,0.017,0.169,0.0,31.0,0.0,0.0,0.006,0.01,0.0,0.0,0.0,0.011,0.161,0.0,3.733,3.733,4.112,5.925,3.733,29.04.24 - 09:39
659,0.09,0.002,0.024,0.025,0.021,0.04,0.181,0.083,13.0,0.025,0.021,0.033,0.038,0.083,0.0,0.0,0.007,0.146,0.0,3.517,3.537,3.785,5.62,3.517,29.04.24 - 09:40
660,0.09,0.0025,0.004,0.25,0.252,0.253,0.363,0.25,6.0,0.25,0.252,0.235,0.177,0.25,0.0,0.0,0.021,0.188,0.0,4.583,4.587,5.091,6.847,4.583,29.04.24 - 09:40
661,0.09,0.0025,0.006,0.271,0.26,0.258,0.363,0.283,-1,0.271,0.259,0.234,0.178,0.283,0.0,0.002,0.034,0.194,0.0,4.117,4.313,4.941,6.758,4.117,29.04.24 - 09:41
662,0.09,0.0025,0.008,0.233,0.234,0.244,0.352,0.233,8.0,0.233,0.233,0.217,0.165,0.233,0.0,0.001,0.032,0.192,0.0,4.55,4.609,5.225,6.972,4.55,29.04.24 - 09:42
663,0.09,0.0025,0.01,0.044,0.057,0.088,0.233,0.033,48.0,0.043,0.055,0.066,0.053,0.033,0.002,0.002,0.023,0.181,0.0,3.996,4.026,4.547,6.43,3.867,29.04.24 - 09:43
664,0.09,0.0025,0.012,0.025,0.038,0.093,0.239,0.017,47.0,0.025,0.038,0.067,0.055,0.017,0.0,0.0,0.032,0.19,0.0,3.6,3.661,4.343,6.281,3.6,29.04.24 - 09:44
665,0.09,0.0025,0.014,0.001,0.014,0.058,0.212,0.0,46.0,0.001,0.014,0.032,0.03,0.0,0.0,0.0,0.029,0.185,0.0,3.533,3.571,4.241,6.139,3.533,29.04.24 - 09:45
666,0.09,0.0025,0.016,0.017,0.024,0.048,0.198,0.017,32.0,0.017,0.024,0.034,0.032,0.017,0.0,0.0,0.016,0.17,0.0,3.7,3.724,4.092,6.03,3.7,29.04.24 - 09:46
667,0.09,0.0025,0.018000000000000002,0.003,0.019,0.066,0.215,0.0,47.0,0.003,0.018,0.046,0.044,0.0,0.0,0.001,0.02,0.174,0.0,3.683,3.751,4.306,6.224,3.683,29.04.24 - 09:47
668,0.09,0.0025,0.02,0.0,0.0,0.014,0.172,0.0,31.0,0.0,0.0,0.005,0.012,0.0,0.0,0.0,0.009,0.161,0.0,3.583,3.583,3.937,5.875,3.583,29.04.24 - 09:47
669,0.09,0.0025,0.022000000000000002,0.0,0.005,0.032,0.189,0.0,36.0,0.0,0.005,0.019,0.022,0.0,0.0,0.0,0.015,0.17,0.0,3.6,3.6,3.918,5.85,3.6,29.04.24 - 09:48
670,0.09,0.0025,0.024,0.0,0.006,0.03,0.18,0.0,35.0,0.0,0.006,0.021,0.024,0.0,0.0,0.0,0.009,0.158,0.0,3.717,3.729,4.022,5.834,3.717,29.04.24 - 09:49
671,0.09,0.003,0.004,0.243,0.234,0.234,0.357,0.267,5.0,0.243,0.234,0.186,0.139,0.267,0.0,0.001,0.051,0.22,0.0,4.399,4.653,5.427,7.234,4.383,29.04.24 - 09:50
672,0.09,0.003,0.006,0.068,0.079,0.114,0.262,0.083,32.0,0.068,0.063,0.065,0.048,0.083,0.0,0.017,0.05,0.215,0.0,3.895,4.192,4.972,6.904,3.9,29.04.24 - 09:51
673,0.09,0.003,0.008,0.064,0.076,0.139,0.28,0.05,46.0,0.064,0.065,0.077,0.058,0.05,0.0,0.011,0.065,0.224,0.0,3.697,4.203,5.138,6.942,3.517,29.04.24 - 09:52
674,0.09,0.003,0.01,0.035,0.044,0.087,0.239,0.033,42.0,0.035,0.041,0.047,0.036,0.033,0.0,0.003,0.043,0.206,0.0,3.782,3.839,4.712,6.645,3.7,29.04.24 - 09:52
675,0.09,0.003,0.012,0.013,0.027,0.079,0.236,0.0,48.0,0.013,0.023,0.037,0.029,0.0,0.0,0.004,0.046,0.211,0.0,3.551,3.745,4.653,6.598,3.55,29.04.24 - 09:53
676,0.09,0.003,0.014,0.017,0.031,0.082,0.237,0.017,38.0,0.017,0.027,0.05,0.039,0.017,0.0,0.003,0.037,0.202,0.0,3.833,3.907,4.615,6.573,3.833,29.04.24 - 09:54
677,0.09,0.003,0.016,0.0,0.003,0.035,0.198,0.0,37.0,0.0,0.0,0.015,0.014,0.0,0.0,0.003,0.021,0.185,0.0,3.533,3.597,4.096,6.09,3.533,29.04.24 - 09:55
678,0.09,0.003,0.018000000000000002,0.0,0.008,0.063,0.219,0.0,44.0,0.0,0.005,0.033,0.033,0.0,0.0,0.003,0.032,0.189,0.0,3.517,3.697,4.317,6.273,3.517,29.04.24 - 09:56
679,0.09,0.003,0.02,0.0,0.0,0.032,0.196,0.0,35.0,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.021,0.184,0.0,3.4,3.416,3.949,5.956,3.4,29.04.24 - 09:57
680,0.09,0.003,0.022000000000000002,0.0,0.0,0.027,0.187,0.0,33.0,0.0,0.0,0.009,0.014,0.0,0.0,0.0,0.018,0.175,0.0,3.533,3.533,3.998,5.994,3.533,29.04.24 - 09:58
681,0.09,0.003,0.024,0.001,0.011,0.043,0.195,0.0,38.0,0.001,0.011,0.026,0.025,0.0,0.0,0.0,0.019,0.172,0.0,3.867,3.875,4.242,6.131,3.867,29.04.24 - 09:59
682,0.09,0.0035,0.004,0.131,0.116,0.154,0.299,0.15,14.0,0.131,0.113,0.081,0.061,0.15,0.0,0.003,0.075,0.239,0.0,4.248,4.547,5.572,7.321,4.117,29.04.24 - 10:00
683,0.09,0.0035,0.006,0.167,0.159,0.189,0.324,0.167,18.0,0.167,0.158,0.117,0.088,0.167,0.0,0.003,0.077,0.24,0.0,4.183,4.261,5.425,7.241,4.183,29.04.24 - 10:01
684,0.09,0.0035,0.008,0.161,0.177,0.207,0.34,0.133,46.0,0.153,0.159,0.139,0.104,0.133,0.008,0.023,0.078,0.244,0.0,4.145,4.499,5.415,7.204,3.933,29.04.24 - 10:02
685,0.09,0.0035,0.01,0.045,0.054,0.125,0.28,0.05,37.0,0.045,0.045,0.049,0.037,0.05,0.0,0.009,0.082,0.247,0.0,3.829,4.141,5.12,7.013,3.667,29.04.24 - 10:03
686,0.09,0.0035,0.012,0.05,0.065,0.109,0.256,0.017,47.0,0.037,0.057,0.054,0.04,0.017,0.013,0.008,0.057,0.217,0.0,3.753,3.949,4.919,6.771,3.6,29.04.24 - 10:04
687,0.09,0.0035,0.014,0.0,0.01,0.073,0.236,0.0,46.0,0.0,0.002,0.016,0.012,0.0,0.0,0.008,0.059,0.226,0.0,3.697,3.839,4.765,6.677,3.65,29.04.24 - 10:04
688,0.09,0.0035,0.016,0.002,0.016,0.065,0.225,0.0,44.0,0.002,0.011,0.025,0.019,0.0,0.0,0.008,0.043,0.209,0.0,3.583,3.727,4.566,6.549,3.583,29.04.24 - 10:05
689,0.09,0.0035,0.018000000000000002,0.0,0.001,0.039,0.208,0.0,38.0,0.0,0.0,0.015,0.012,0.0,0.0,0.001,0.025,0.197,0.0,3.491,3.631,4.202,6.215,3.483,29.04.24 - 10:06
690,0.09,0.0035,0.02,0.0,0.005,0.048,0.218,0.0,38.0,0.0,0.003,0.019,0.017,0.0,0.0,0.002,0.031,0.204,0.0,3.783,3.863,4.427,6.454,3.783,29.04.24 - 10:07
691,0.09,0.0035,0.022000000000000002,0.0,0.0,0.031,0.2,0.0,34.0,0.0,0.0,0.013,0.012,0.0,0.0,0.0,0.019,0.189,0.0,3.65,3.65,4.108,6.171,3.65,29.04.24 - 10:08
692,0.09,0.0035,0.024,0.0,0.003,0.038,0.201,0.0,39.0,0.0,0.0,0.01,0.01,0.0,0.0,0.003,0.028,0.191,0.0,3.65,3.722,4.318,6.304,3.65,29.04.24 - 10:09
693,0.09,0.004,0.004,0.115,0.123,0.184,0.328,0.133,15.0,0.091,0.065,0.044,0.033,0.117,0.035,0.07,0.149,0.302,0.017,4.739,5.244,6.205,7.832,4.183,29.04.24 - 10:09
694,0.09,0.004,0.006,0.16,0.163,0.207,0.341,0.2,6.0,0.159,0.126,0.09,0.067,0.2,0.002,0.045,0.125,0.279,0.0,4.205,4.95,6.086,7.752,3.983,29.04.24 - 10:10
695,0.09,0.004,0.008,0.066,0.082,0.167,0.316,0.1,34.0,0.056,0.057,0.049,0.037,0.1,0.01,0.026,0.122,0.282,0.0,4.217,4.86,6.332,7.977,4.45,29.04.24 - 10:11
696,0.09,0.004,0.01,0.106,0.116,0.175,0.316,0.1,39.0,0.082,0.086,0.068,0.051,0.083,0.029,0.035,0.111,0.268,0.017,4.659,4.921,6.1,7.746,4.667,29.04.24 - 10:12
697,0.09,0.004,0.012,0.018,0.04,0.103,0.259,0.017,45.0,0.007,0.009,0.009,0.006,0.0,0.013,0.032,0.096,0.253,0.017,4.159,4.552,5.595,7.372,4.167,29.04.24 - 10:13
698,0.09,0.004,0.014,0.045,0.069,0.13,0.283,0.017,50.0,0.041,0.049,0.048,0.036,0.017,0.003,0.021,0.086,0.25,0.0,4.341,4.59,5.634,7.403,4.033,29.04.24 - 10:14
699,0.09,0.004,0.016,0.0,0.01,0.078,0.243,0.0,46.0,0.0,0.005,0.011,0.008,0.0,0.0,0.006,0.069,0.237,0.0,3.8,4.097,5.124,7.041,3.8,29.04.24 - 10:15
700,0.09,0.004,0.018000000000000002,0.007,0.027,0.088,0.252,0.0,50.0,0.0,0.012,0.018,0.013,0.0,0.007,0.015,0.073,0.241,0.0,3.751,4.026,4.994,6.931,3.583,29.04.24 - 10:16
701,0.09,0.004,0.02,0.0,0.001,0.047,0.22,0.0,38.0,0.0,0.0,0.005,0.004,0.0,0.0,0.001,0.042,0.217,0.0,3.533,3.619,4.325,6.383,3.533,29.04.24 - 10:16
702,0.09,0.004,0.022000000000000002,0.0,0.0,0.033,0.203,0.0,35.0,0.0,0.0,0.007,0.005,0.0,0.0,0.0,0.026,0.198,0.0,3.533,3.593,4.241,6.284,3.533,29.04.24 - 10:17
703,0.09,0.004,0.024,0.0,0.004,0.033,0.203,0.0,38.0,0.0,0.0,0.005,0.004,0.0,0.0,0.004,0.028,0.199,0.0,3.617,3.688,4.246,6.25,3.617,29.04.24 - 10:18
704,0.09999999999999999,0.0005,0.004,0.3,0.3,0.295,0.367,0.3,-1,0.3,0.3,0.295,0.244,0.3,0.0,0.0,0.0,0.125,0.0,4.183,4.183,4.206,5.763,4.183,29.04.24 - 10:19
705,0.09999999999999999,0.0005,0.006,0.333,0.333,0.328,0.388,0.333,-1,0.333,0.333,0.328,0.27,0.333,0.0,0.0,0.001,0.123,0.0,4.45,4.45,4.496,5.952,4.45,29.04.24 - 10:20
706,0.09999999999999999,0.0005,0.008,0.286,0.293,0.29,0.36,0.283,-1,0.286,0.293,0.289,0.239,0.283,0.0,0.0,0.002,0.125,0.0,4.15,4.15,4.309,5.805,4.15,29.04.24 - 10:21
707,0.09999999999999999,0.0005,0.01,0.317,0.316,0.307,0.376,0.317,-1,0.317,0.316,0.305,0.251,0.317,0.0,0.0,0.002,0.129,0.0,4.283,4.283,4.382,5.925,4.283,29.04.24 - 10:22
708,0.09999999999999999,0.0005,0.012,0.109,0.109,0.126,0.234,0.117,16.0,0.109,0.109,0.114,0.112,0.117,0.0,0.0,0.014,0.127,0.0,3.772,3.784,4.109,5.582,3.8,29.04.24 - 10:23
709,0.09999999999999999,0.0005,0.014,0.083,0.083,0.09,0.2,0.13,10.0,0.085,0.084,0.088,0.083,0.133,0.002,0.001,0.005,0.12,0.017,4.128,3.956,4.014,5.546,4.583,29.04.24 - 10:24
710,0.09999999999999999,0.0005,0.016,0.162,0.148,0.158,0.258,0.224,2.0,0.169,0.151,0.155,0.141,0.233,0.002,0.001,0.007,0.122,0.0,4.03,3.923,4.069,5.637,4.617,29.04.24 - 10:25
711,0.09999999999999999,0.0005,0.018000000000000002,0.173,0.135,0.124,0.221,0.251,12.0,0.189,0.143,0.129,0.115,0.283,0.003,0.002,0.002,0.113,0.017,4.006,3.844,3.904,5.434,4.617,29.04.24 - 10:26
712,0.09999999999999999,0.0005,0.02,0.207,0.184,0.175,0.271,0.294,2.0,0.232,0.202,0.186,0.169,0.317,0.002,0.001,0.002,0.115,0.017,4.107,3.968,4.102,5.629,4.817,29.04.24 - 10:27
713,0.09999999999999999,0.0005,0.022000000000000002,0.344,0.271,0.243,0.323,0.378,-1,0.35,0.279,0.238,0.204,0.4,0.017,0.008,0.018,0.132,0.017,4.443,4.199,4.335,5.74,4.233,29.04.24 - 10:28
714,0.09999999999999999,0.0005,0.024,0.315,0.26,0.219,0.299,0.348,-1,0.365,0.293,0.24,0.205,0.417,0.004,0.004,0.003,0.117,0.0,4.434,4.166,4.07,5.521,4.733,29.04.24 - 10:29
715,0.09999999999999999,0.001,0.004,0.288,0.286,0.284,0.363,0.3,3.0,0.288,0.286,0.281,0.229,0.3,0.0,0.0,0.003,0.138,0.0,4.15,4.15,4.296,5.961,4.15,29.04.24 - 10:29
716,0.09999999999999999,0.001,0.006,0.317,0.321,0.31,0.379,0.317,-1,0.317,0.321,0.302,0.24,0.317,0.0,0.0,0.012,0.146,0.0,4.417,4.429,4.643,6.212,4.417,29.04.24 - 10:30
717,0.09999999999999999,0.001,0.008,0.233,0.239,0.243,0.336,0.233,7.0,0.233,0.239,0.24,0.202,0.233,0.0,0.0,0.003,0.137,0.0,3.95,3.95,4.146,5.799,3.95,29.04.24 - 10:31
718,0.09999999999999999,0.001,0.01,0.283,0.289,0.283,0.353,0.283,7.0,0.283,0.289,0.283,0.233,0.283,0.0,0.0,0.0,0.123,0.0,4.433,4.441,4.491,5.961,4.433,29.04.24 - 10:32
719,0.09999999999999999,0.001,0.012,0.093,0.115,0.141,0.259,0.083,25.0,0.093,0.113,0.131,0.122,0.083,0.0,0.002,0.01,0.14,0.0,3.595,3.717,3.916,5.594,3.55,29.04.24 - 10:33
720,0.09999999999999999,0.001,0.014,0.044,0.052,0.076,0.198,0.033,31.0,0.044,0.052,0.071,0.072,0.033,0.0,0.0,0.006,0.131,0.0,3.8,3.809,4.005,5.595,3.8,29.04.24 - 10:34
721,0.09999999999999999,0.001,0.016,0.047,0.049,0.061,0.184,0.017,39.0,0.047,0.049,0.056,0.057,0.017,0.0,0.0,0.005,0.128,0.0,3.567,3.595,3.738,5.405,3.567,29.04.24 - 10:35
722,0.09999999999999999,0.001,0.018000000000000002,0.107,0.107,0.121,0.227,0.15,10.0,0.107,0.107,0.115,0.112,0.15,0.0,0.0,0.006,0.118,0.0,3.785,3.753,3.906,5.473,3.833,29.04.24 - 10:36
723,0.09999999999999999,0.001,0.02,0.122,0.108,0.113,0.228,0.183,-1,0.122,0.108,0.11,0.107,0.183,0.0,0.0,0.003,0.123,0.0,3.533,3.563,3.705,5.319,3.533,29.04.24 - 10:37
724,0.09999999999999999,0.001,0.022000000000000002,0.136,0.097,0.086,0.196,0.167,2.0,0.136,0.097,0.085,0.076,0.167,0.0,0.0,0.003,0.122,0.0,3.767,3.767,3.934,5.497,3.767,29.04.24 - 10:38
725,0.09999999999999999,0.001,0.024,0.243,0.194,0.185,0.28,0.28,8.0,0.249,0.199,0.184,0.163,0.283,0.01,0.005,0.008,0.125,0.017,3.967,3.895,4.098,5.655,4.017,29.04.24 - 10:39
