experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
139,0.03,0.0025,0.018000000000000002,0.181,0.275,0.436,0.577,0.167,35.0,0.0,0.0,0.0,0.0,0.0,0.181,0.275,0.436,0.577,0.167,6.465,7.685,9.399,10.799,5.867,19.04.24 - 05:55
140,0.03,0.0025,0.02,0.191,0.267,0.399,0.55,0.067,65.0,0.005,0.002,0.002,0.001,0.0,0.187,0.265,0.398,0.548,0.067,6.506,7.378,8.952,10.464,5.467,19.04.24 - 05:56
141,0.03,0.0025,0.022000000000000002,0.108,0.193,0.341,0.506,0.05,57.0,0.012,0.008,0.006,0.004,0.0,0.097,0.186,0.336,0.502,0.05,5.679,6.858,8.458,10.094,5.283,19.04.24 - 05:57
142,0.03,0.0025,0.024,0.078,0.162,0.311,0.483,0.067,51.0,0.022,0.017,0.011,0.008,0.017,0.056,0.145,0.3,0.475,0.05,5.503,6.387,8.098,9.823,4.767,19.04.24 - 05:57
143,0.03,0.003,0.004,0.867,0.933,0.956,0.967,0.667,-1,0.0,0.0,0.0,0.0,0.0,0.867,0.933,0.956,0.967,0.667,13.669,14.335,14.556,14.667,11.567,19.04.24 - 05:58
144,0.03,0.003,0.006,0.82,0.89,0.927,0.945,0.617,-1,0.0,0.0,0.0,0.0,0.0,0.82,0.89,0.927,0.945,0.617,13.247,13.917,14.278,14.459,11.283,19.04.24 - 05:58
145,0.03,0.003,0.008,0.603,0.768,0.846,0.884,0.567,-1,0.0,0.0,0.0,0.0,0.0,0.603,0.768,0.846,0.884,0.567,11.669,13.008,13.672,14.004,10.8,19.04.24 - 05:59
146,0.03,0.003,0.01,0.517,0.672,0.781,0.836,0.4,-1,0.0,0.0,0.0,0.0,0.0,0.517,0.672,0.781,0.836,0.4,10.407,11.912,12.941,13.456,9.167,19.04.24 - 05:59
147,0.03,0.003,0.012,0.414,0.55,0.696,0.772,0.383,-1,0.0,0.0,0.0,0.0,0.0,0.414,0.55,0.696,0.772,0.383,9.826,11.105,12.368,13.026,9.3,19.04.24 - 06:00
148,0.03,0.003,0.014,0.435,0.5,0.659,0.744,0.4,-1,0.0,0.0,0.0,0.0,0.0,0.435,0.5,0.659,0.744,0.4,8.964,10.011,11.591,12.444,8.383,19.04.24 - 06:00
149,0.03,0.003,0.016,0.401,0.441,0.607,0.705,0.4,-1,0.0,0.0,0.0,0.0,0.0,0.401,0.441,0.607,0.705,0.4,8.709,9.457,11.128,12.096,8.5,19.04.24 - 06:01
150,0.03,0.003,0.018000000000000002,0.374,0.43,0.581,0.686,0.367,-1,0.0,0.0,0.0,0.0,0.0,0.374,0.43,0.581,0.686,0.367,8.575,9.33,10.909,11.932,8.383,19.04.24 - 06:01
151,0.03,0.003,0.02,0.283,0.349,0.49,0.618,0.217,9.0,0.0,0.0,0.0,0.0,0.0,0.283,0.349,0.49,0.618,0.217,7.524,8.407,10.047,11.285,6.667,19.04.24 - 06:02
152,0.03,0.003,0.022000000000000002,0.203,0.281,0.431,0.573,0.117,45.0,0.0,0.0,0.0,0.0,0.0,0.203,0.281,0.431,0.573,0.117,6.969,8.015,9.638,10.978,6.067,19.04.24 - 06:03
153,0.03,0.003,0.024,0.155,0.234,0.386,0.539,0.083,51.0,0.0,0.0,0.0,0.0,0.0,0.155,0.234,0.386,0.539,0.083,6.651,7.679,9.288,10.716,5.783,19.04.24 - 06:03
