instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
250,18,12,100,40,70,no-calib_on-chip_no-dyn-inh,-1,0.269,0.27,0.283,0.325,0.25,0.0,0.0,0.0,0.0,0.0,0.269,0.27,0.283,0.325,0.25,3.519,3.43,3.454,3.915,3.25,1.769,1.8,1.816,1.64,2.0,28.05.24 - 00:37
251,14,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.71,0.671,0.69,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.71,0.671,0.69,0.75,4.923,4.87,4.77,5.49,6.5,0.154,0.16,0.184,0.18,0.0,28.05.24 - 00:41
252,14,14,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.423,0.43,0.434,0.505,0.5,0.0,0.0,0.0,0.0,0.0,0.423,0.43,0.434,0.505,0.5,4.654,4.7,4.73,5.25,5.25,1.231,1.24,1.316,1.12,1.0,28.05.24 - 00:45
253,16,10,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.904,0.89,0.875,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.904,0.89,0.875,0.875,1.0,5.404,5.56,5.651,6.1,5.0,0.077,0.2,0.132,0.12,0.0,28.05.24 - 00:48
254,14,14,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.692,0.71,0.711,0.72,0.5,0.0,0.0,0.0,0.0,0.0,0.692,0.71,0.711,0.72,0.5,4.769,4.72,4.783,5.05,4.5,0.462,0.4,0.316,0.28,1.0,28.05.24 - 00:52
255,16,14,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.69,0.717,0.74,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.69,0.717,0.74,0.75,4.962,4.98,5.257,5.94,4.0,0.0,0.04,0.026,0.04,0.0,28.05.24 - 00:56
256,16,8,80,40,80,no-calib_on-chip_no-dyn-inh,-1,0.712,0.7,0.704,0.715,0.5,0.0,0.0,0.0,0.0,0.0,0.712,0.7,0.704,0.715,0.5,4.673,4.75,4.776,5.075,5.25,1.385,1.32,1.184,1.06,1.0,28.05.24 - 01:00
257,14,12,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.712,0.72,0.711,0.745,0.5,0.0,0.0,0.0,0.0,0.0,0.712,0.72,0.711,0.745,0.5,4.615,4.98,5.349,6.12,5.5,0.0,0.04,0.079,0.08,0.0,28.05.24 - 01:03
258,18,16,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.5,0.57,0.579,0.615,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.57,0.579,0.615,0.25,4.192,4.24,4.329,4.825,3.75,1.308,1.2,1.237,1.04,1.0,28.05.24 - 01:07
259,16,14,80,40,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.66,0.651,0.635,0.5,0.0,0.0,0.0,0.0,0.0,0.692,0.66,0.651,0.635,0.5,4.5,4.3,4.309,4.705,4.75,0.231,0.48,0.605,0.62,0.0,28.05.24 - 01:11
260,14,16,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.846,0.82,0.822,0.835,0.75,0.0,0.0,0.0,0.0,0.0,0.846,0.82,0.822,0.835,0.75,4.558,4.55,4.572,5.275,3.5,0.077,0.12,0.105,0.1,0.0,28.05.24 - 01:15
261,18,14,100,40,90,no-calib_on-chip_no-dyn-inh,-1,0.635,0.66,0.664,0.68,0.75,0.0,0.0,0.0,0.0,0.0,0.635,0.66,0.664,0.68,0.75,4.942,4.85,4.829,5.205,5.0,0.0,0.0,0.0,0.02,0.0,28.05.24 - 01:18
262,18,12,60,60,80,no-calib_on-chip_no-dyn-inh,-1,0.558,0.57,0.605,0.665,0.75,0.0,0.0,0.0,0.0,0.0,0.558,0.57,0.605,0.665,0.75,4.365,4.41,4.414,5.025,5.0,0.0,0.0,0.0,0.0,0.0,28.05.24 - 01:22
263,18,8,60,80,70,no-calib_on-chip_no-dyn-inh,-1,0.481,0.47,0.493,0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.47,0.493,0.56,0.5,4.288,4.38,4.566,5.31,5.0,0.615,0.48,0.5,0.38,0.0,28.05.24 - 01:26
264,14,10,60,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.68,0.658,0.71,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.68,0.658,0.71,0.75,4.885,4.82,4.98,5.895,4.75,0.0,0.0,0.053,0.04,0.0,28.05.24 - 01:30
265,16,8,80,60,80,no-calib_on-chip_no-dyn-inh,-1,0.731,0.67,0.651,0.685,0.75,0.0,0.0,0.0,0.0,0.0,0.731,0.67,0.651,0.685,0.75,4.962,5.14,5.132,5.705,4.75,0.846,0.76,0.737,0.56,1.0,28.05.24 - 01:33
266,16,16,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.654,0.68,0.697,0.71,0.75,0.0,0.0,0.0,0.0,0.0,0.654,0.68,0.697,0.71,0.75,4.865,5.0,5.053,5.385,4.5,0.231,0.24,0.184,0.18,0.0,28.05.24 - 01:37
267,16,12,60,40,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.67,0.625,0.62,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.67,0.625,0.62,0.75,4.942,4.72,4.829,5.3,4.25,0.385,0.36,0.421,0.42,0.0,28.05.24 - 01:41
268,18,12,100,60,70,no-calib_on-chip_no-dyn-inh,-1,0.538,0.53,0.546,0.585,0.5,0.0,0.0,0.0,0.0,0.0,0.538,0.53,0.546,0.585,0.5,4.096,4.07,4.184,4.735,3.75,0.692,0.64,0.553,0.44,1.0,28.05.24 - 01:45
269,14,8,100,40,90,no-calib_on-chip_no-dyn-inh,-1,0.692,0.71,0.684,0.715,0.75,0.0,0.0,0.0,0.0,0.0,0.692,0.71,0.684,0.715,0.75,5.231,5.02,5.158,5.67,5.25,0.154,0.12,0.211,0.16,0.0,28.05.24 - 01:48
270,14,10,80,80,70,no-calib_on-chip_no-dyn-inh,-1,0.862,0.808,0.821,0.839,0.75,0.038,0.02,0.02,0.015,0.0,0.846,0.8,0.809,0.83,0.75,4.481,4.57,4.52,5.405,5.0,0.077,0.12,0.132,0.14,0.0,28.05.24 - 01:52
