instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,synapses.p_exc_exc,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
249,18,12,100,60,80,0.3,no-calib_on-chip,48,0.192,0.21,0.211,0.235,0.0,0.0,0.0,0.0,0.01,0.0,0.192,0.21,0.211,0.225,0.0,3.5,3.97,4.171,5.01,4.25,1.231,1.16,1.289,1.6,2.0,26.05.24 - 06:14
250,16,10,60,40,80,0.39999999999999997,no-calib_on-chip,-1,0.173,0.18,0.191,0.22,0.25,0.0,0.0,0.0,0.0,0.0,0.173,0.18,0.191,0.22,0.25,4.577,4.53,4.382,5.235,5.0,1.692,1.64,1.789,2.2,1.0,26.05.24 - 06:18
251,16,14,100,60,70,0.35,no-calib_on-chip,49,0.135,0.1,0.112,0.19,0.0,0.0,0.0,0.007,0.035,0.0,0.135,0.1,0.105,0.155,0.0,4.596,4.4,4.329,5.485,6.5,3.846,4.0,4.105,4.14,5.0,26.05.24 - 06:22
252,16,16,60,60,80,0.44999999999999996,no-calib_on-chip,40,0.038,0.02,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.02,0.02,0.1,0.0,5.0,5.12,5.224,6.295,4.75,6.385,6.76,6.921,6.5,6.0,26.05.24 - 06:25
253,18,16,60,40,80,0.35,no-calib_on-chip,-1,0.115,0.07,0.066,0.105,0.25,0.0,0.0,0.0,0.0,0.0,0.115,0.07,0.066,0.105,0.25,3.808,3.82,3.928,4.815,3.25,2.385,2.48,2.868,3.14,1.0,26.05.24 - 06:29
254,16,16,60,60,70,0.35,no-calib_on-chip,49,0.096,0.13,0.138,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.13,0.138,0.2,0.0,3.769,3.79,3.822,5.0,3.5,2.769,2.68,2.579,2.54,3.0,26.05.24 - 06:33
255,16,8,80,60,70,0.3,no-calib_on-chip,49,0.308,0.34,0.296,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.34,0.296,0.345,0.0,4.462,4.46,4.296,5.54,4.5,1.154,1.16,1.447,1.48,2.0,26.05.24 - 06:37
256,16,12,60,80,80,0.3,no-calib_on-chip,-1,0.25,0.26,0.296,0.4,0.5,0.0,0.0,0.026,0.02,0.0,0.25,0.26,0.27,0.38,0.5,5.788,5.12,5.257,6.605,9.25,2.231,1.84,1.684,1.46,2.0,26.05.24 - 06:41
257,16,10,80,80,90,0.44999999999999996,no-calib_on-chip,48,0.096,0.07,0.059,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.07,0.059,0.16,0.0,4.269,4.27,4.375,5.795,4.5,4.462,4.44,4.763,4.46,6.0,26.05.24 - 06:45
258,16,12,100,80,70,0.35,no-calib_on-chip,-1,0.058,0.09,0.079,0.155,0.25,0.0,0.0,0.0,0.0,0.0,0.058,0.09,0.079,0.155,0.25,3.673,3.61,3.618,5.03,3.25,3.308,3.2,3.368,3.1,3.0,26.05.24 - 06:49
259,18,16,60,80,90,0.35,no-calib_on-chip,-1,0.212,0.21,0.211,0.295,0.25,0.0,0.0,0.0,0.0,0.0,0.212,0.21,0.211,0.295,0.25,3.769,3.98,4.303,5.805,5.0,1.615,1.72,1.579,1.36,1.0,26.05.24 - 06:53
260,16,14,100,60,70,0.39999999999999997,no-calib_on-chip,3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,5.519,5.41,5.474,6.365,5.0,6.692,6.72,6.737,6.42,5.0,26.05.24 - 06:57
261,14,8,100,80,70,0.35,no-calib_on-chip,-1,0.231,0.21,0.211,0.305,0.5,0.0,0.0,0.0,0.0,0.0,0.231,0.21,0.211,0.305,0.5,4.173,3.97,4.099,5.85,2.25,1.692,1.6,1.711,1.74,1.0,26.05.24 - 07:00
262,16,8,60,40,90,0.3,no-calib_on-chip,-1,0.481,0.49,0.454,0.435,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.49,0.454,0.435,0.5,7.538,6.86,6.684,7.26,5.75,1.308,1.52,1.526,1.66,2.0,26.05.24 - 07:04
263,14,10,100,80,70,0.44999999999999996,no-calib_on-chip,-1,0.212,0.19,0.132,0.215,0.25,0.212,0.19,0.132,0.105,0.25,0.0,0.0,0.0,0.11,0.0,4.808,4.92,5.329,6.73,5.0,7.769,7.76,8.237,7.76,10.0,26.05.24 - 07:08
264,14,10,80,60,70,0.35,no-calib_on-chip,-1,0.25,0.19,0.171,0.235,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.19,0.171,0.235,0.5,4.038,4.11,4.289,5.545,2.75,2.0,2.48,2.895,2.86,2.0,26.05.24 - 07:12
265,14,16,60,40,70,0.3,no-calib_on-chip,-1,0.288,0.3,0.296,0.3,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.3,0.296,0.3,0.25,3.923,4.29,4.276,5.215,5.0,0.846,0.8,0.789,1.1,0.0,26.05.24 - 07:16
266,16,12,60,60,80,0.39999999999999997,no-calib_on-chip,49,0.115,0.11,0.086,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.11,0.086,0.17,0.0,4.115,4.45,4.336,5.505,3.5,2.692,2.76,2.763,2.84,3.0,26.05.24 - 07:20
267,14,8,80,40,80,0.35,no-calib_on-chip,-1,0.308,0.25,0.224,0.26,0.5,0.0,0.0,0.0,0.0,0.0,0.308,0.25,0.224,0.26,0.5,4.308,4.27,4.224,5.135,3.5,1.385,1.8,1.737,2.04,1.0,26.05.24 - 07:24
268,18,10,80,80,90,0.44999999999999996,no-calib_on-chip,46,0.077,0.04,0.046,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.04,0.046,0.145,0.0,4.423,4.36,4.533,5.86,5.25,3.615,3.8,4.105,4.22,5.0,26.05.24 - 07:28
269,16,8,80,60,80,0.44999999999999996,no-calib_on-chip,44,0.077,0.09,0.079,0.145,0.0,0.038,0.07,0.053,0.04,0.0,0.038,0.02,0.026,0.105,0.0,3.731,3.86,3.954,5.345,3.75,5.615,5.68,5.421,5.6,5.0,26.05.24 - 07:32
270,16,8,100,60,80,0.39999999999999997,no-calib_on-chip,-1,0.135,0.11,0.105,0.165,0.25,0.0,0.0,0.0,0.0,0.0,0.135,0.11,0.105,0.165,0.25,4.231,4.29,4.401,5.725,2.5,3.615,3.52,4.0,4.56,1.0,26.05.24 - 07:36
271,18,14,100,60,70,0.3,no-calib_on-chip,-1,0.173,0.13,0.112,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.173,0.13,0.112,0.17,0.25,3.712,3.79,4.033,4.96,4.0,1.231,1.6,2.0,2.1,0.0,26.05.24 - 07:39
272,18,14,100,40,70,0.35,no-calib_on-chip,31,0.0,0.03,0.053,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.053,0.08,0.0,4.365,4.21,4.382,5.02,4.5,4.308,4.04,3.921,4.22,4.0,26.05.24 - 07:43
273,14,8,100,80,90,0.3,no-calib_on-chip,-1,0.423,0.39,0.382,0.455,0.5,0.0,0.0,0.0,0.0,0.0,0.423,0.39,0.382,0.455,0.5,7.577,7.44,7.52,8.495,8.75,1.923,1.84,1.921,1.72,1.0,26.05.24 - 07:47
274,16,16,60,80,80,0.44999999999999996,no-calib_on-chip,43,0.019,0.01,0.007,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.01,0.007,0.125,0.0,4.654,4.78,4.632,6.14,4.5,6.385,7.0,6.421,5.56,7.0,26.05.24 - 07:51
