experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
806,0.15000000000000002,0.004,0.01,20,-1,0.3,0.292,0.279,0.368,0.3,0.3,0.292,0.268,0.206,0.3,0.0,0.0,0.014,0.166,0.0,4.317,4.317,4.691,6.445,4.317,22.05.24 - 16:58
807,0.15000000000000002,0.004,0.03,22,-1,0.375,0.374,0.382,0.443,0.471,0.13,0.134,0.142,0.122,0.183,0.267,0.263,0.266,0.344,0.317,8.974,8.882,8.905,9.56,9.267,22.05.24 - 16:59
808,0.18000000000000005,0.005,0.019999999999999997,21,45,0.031,0.091,0.109,0.214,0.017,0.02,0.076,0.09,0.08,0.017,0.011,0.017,0.021,0.138,0.0,4.076,4.753,4.865,6.256,3.7,22.05.24 - 16:59
809,0.13,0.0035,0.024999999999999998,17,33,0.026,0.066,0.13,0.301,0.017,0.026,0.052,0.059,0.044,0.017,0.0,0.015,0.077,0.261,0.0,3.888,4.353,5.491,7.468,3.767,22.05.24 - 17:00
810,0.16000000000000003,0.0045000000000000005,0.024999999999999998,19,24,0.044,0.064,0.1,0.233,0.033,0.044,0.061,0.073,0.06,0.033,0.0,0.005,0.031,0.179,0.0,3.9,4.008,4.576,6.369,3.817,22.05.24 - 17:00
811,0.15000000000000002,0.004,0.01,21,-1,0.278,0.262,0.246,0.329,0.283,0.278,0.262,0.242,0.19,0.283,0.0,0.0,0.007,0.143,0.0,4.294,4.276,4.544,6.172,4.3,22.05.24 - 17:01
812,0.13,0.003,0.019999999999999997,17,30,0.074,0.101,0.152,0.313,0.05,0.072,0.081,0.077,0.058,0.05,0.003,0.023,0.081,0.259,0.0,3.942,4.449,5.573,7.491,3.933,22.05.24 - 17:01
813,0.13,0.005,0.03,17,34,0.014,0.043,0.126,0.314,0.0,0.011,0.018,0.014,0.011,0.0,0.003,0.026,0.113,0.303,0.0,4.002,4.689,5.91,7.906,3.767,22.05.24 - 17:02
814,0.15000000000000002,0.0045000000000000005,0.024999999999999998,16,33,0.024,0.059,0.143,0.32,0.017,0.022,0.036,0.027,0.02,0.017,0.002,0.028,0.12,0.303,0.0,4.097,4.86,6.129,8.017,3.933,22.05.24 - 17:03
815,0.18000000000000005,0.0045000000000000005,0.03,19,26,0.021,0.045,0.077,0.2,0.017,0.021,0.045,0.062,0.057,0.017,0.0,0.0,0.016,0.147,0.0,3.767,3.805,4.179,5.89,3.767,22.05.24 - 17:03
816,0.16000000000000003,0.004,0.019999999999999997,19,23,0.083,0.092,0.108,0.244,0.083,0.083,0.088,0.093,0.077,0.083,0.0,0.005,0.019,0.171,0.0,4.072,4.203,4.681,6.474,3.833,22.05.24 - 17:04
817,0.14,0.0045000000000000005,0.015,19,29,0.068,0.081,0.128,0.278,0.05,0.063,0.072,0.079,0.059,0.05,0.007,0.013,0.056,0.224,0.0,3.999,4.235,5.212,7.033,3.767,22.05.24 - 17:04
818,0.13,0.004,0.01,17,46,0.097,0.135,0.224,0.385,0.083,0.054,0.058,0.043,0.032,0.067,0.05,0.084,0.187,0.357,0.017,5.129,5.904,7.088,8.749,4.983,22.05.24 - 17:05
819,0.17000000000000004,0.003,0.03,17,26,0.043,0.059,0.091,0.235,0.033,0.043,0.059,0.072,0.06,0.033,0.0,0.001,0.021,0.179,0.0,3.783,3.858,4.42,6.334,3.783,22.05.24 - 17:05
